"調査年月日","都道府県名","市区町村名","市町村コード","行政区コード","行政区名","0－4歳","5－9歳","10－14歳","15－19歳","20－24歳","25－29歳","30－34歳","35－39歳","40－44歳","45－49歳","50－54歳","55－59歳","60－64歳","65－69歳","70－74歳","75－79歳","80－84歳","85－89歳","90－94歳","95－99歳","100歳以上","計","世帯数"
"2019/04/01","京都府","舞鶴市","262021","716","府営住宅市場団地","2","2","3","9","5","1","0","1","2","10","8","1","4","5","3","1","2","1","2","0","0","62","33"
"2019/04/01","京都府","舞鶴市","262021","717","市場青葉台","0","2","0","1","1","1","3","1","2","1","4","6","11","5","3","3","1","0","0","0","0","45","23"
"2019/04/01","京都府","舞鶴市","262021","718","泉源寺新町","4","3","3","16","7","3","5","5","8","10","14","10","4","4","5","2","2","0","0","1","0","106","44"
"2019/04/01","京都府","舞鶴市","262021","719","博愛苑","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","5","10","9","1","1","29","27"
"2019/04/01","京都府","舞鶴市","262021","801","南浜元町","9","10","10","4","10","5","12","16","24","24","24","23","18","12","16","10","11","12","10","1","0","261","144"
"2019/04/01","京都府","舞鶴市","262021","802","片山","1","1","2","1","0","0","0","1","1","2","2","4","0","1","2","2","4","2","1","0","0","27","15"
"2019/04/01","京都府","舞鶴市","262021","803","青葉","6","4","3","3","6","11","12","10","9","13","6","6","7","13","15","7","2","7","4","5","0","149","91"
"2019/04/01","京都府","舞鶴市","262021","804","扶桑","5","3","4","1","3","8","10","9","6","9","6","13","3","11","16","7","6","6","3","0","2","131","77"
"2019/04/01","京都府","舞鶴市","262021","805","北浜中町","6","9","9","11","4","10","11","13","15","27","19","13","22","28","32","29","15","9","4","1","0","287","179"
"2019/04/01","京都府","舞鶴市","262021","806","サンコー繊維","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019/04/01","京都府","舞鶴市","262021","807","鍵井経編","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019/04/01","京都府","舞鶴市","262021","901","東昭和","17","17","23","18","15","17","17","19","35","32","34","14","9","18","18","10","18","10","3","1","0","345","168"
"2019/04/01","京都府","舞鶴市","262021","902","西昭和","2","7","4","9","2","2","4","4","14","19","5","2","8","14","7","10","5","8","4","2","0","132","73"
"2019/04/01","京都府","舞鶴市","262021","903","森口","6","9","12","14","17","10","8","10","12","14","19","23","8","11","12","21","15","9","1","3","0","234","111"
